DATE,CODE INSEE,REGION,PRODUCTION,POMPAGE,ECHANGE,CONSOMMATION
2016-05,94,Corse,113163,,-41423,154586
2016-05,44,Grand-Est,8016797,99370,4439213,3478214
2016-05,75,Nouvelle-Aquitaine,4132107,,1041009,3091098
2016-05,52,Pays de la Loire,172134,,-1768588,1940721
2016-06,84,Auvergne-Rhône-Alpes,8617772,266777,3676567,4674428
2016-06,27,Bourgogne-Franche-Comté,225354,235,-1271035,1496154
2016-06,53,Bretagne,151365,4681,-1311426,1458110
2016-06,75,Nouvelle-Aquitaine,4242816,,1327851,2914966
2016-07,84,Auvergne-Rhône-Alpes,8179385,231536,3131978,4815871
2016-07,32,Hauts-de-France,3308840,,-280690,3589530
2016-07,75,Nouvelle-Aquitaine,4031815,,844194,3187621
2016-08,93,Provence-Alpes-Côte d'Azur,1097661,1,-1982346,3080006
2016-09,84,Auvergne-Rhône-Alpes,6754552,315449,1729539,4709564
2016-09,24,Centre-Val de Loire,4970118,,3744820,1225298
2016-09,28,Normandie,4028307,,2097061,1931246
2016-09,76,Occitanie,2583188,67308,-107484,2623364
2016-10,94,Corse,98995,,-54263,153257
2016-10,11,Ile-de-France,270192,,-5608576,5878768
2016-11,84,Auvergne-Rhône-Alpes,7666988,351767,1226768,6088453
2016-11,27,Bourgogne-Franche-Comté,267117,877,-1777311,2043551
2016-11,44,Grand-Est,9969541,97112,5520387,4352042
2016-11,76,Occitanie,2857371,125590,-603308,3335089
2016-11,93,Provence-Alpes-Côte d'Azur,2156019,34,-1454417,3610402
2016-12,27,Bourgogne-Franche-Comté,246511,4088,-2090917,2333340
2016-12,24,Centre-Val de Loire,8432382,,6338969,2093413
2016-12,28,Normandie,7360228,,4347861,3012367
2017-01,28,Normandie,7275870,,3967557,3308313
2017-01,76,Occitanie,3491889,169565,-1439861,4762185
2017-02,24,Centre-Val de Loire,7965943,,6184429,1781514
2017-03,28,Normandie,5145775,,2600263,2545512
2017-04,24,Centre-Val de Loire,7985578,,6512415,1473162
2017-04,75,Nouvelle-Aquitaine,4913990,,1609001,3304989
2017-04,76,Occitanie,2789875,206365,-135546,2719056
2017-04,52,Pays de la Loire,726940,,-1377217,2104157
2017-05,11,Ile-de-France,125206,,-5085977,5211183
2017-06,53,Bretagne,202295,5217,-1237911,1434989
2017-06,32,Hauts-de-France,3293084,,-336203,3629287
2017-07,76,Occitanie,1973948,194102,-957260,2737106
2017-08,76,Occitanie,1913520,164896,-1009207,2757831
2017-08,93,Provence-Alpes-Côte d'Azur,1133822,4066,-2056999,3186756
2017-09,94,Corse,111442,,-44327,155769
2017-09,44,Grand-Est,7376052,81599,3866582,3427871
2017-09,11,Ile-de-France,141679,,-4760952,4902631
2017-09,75,Nouvelle-Aquitaine,4110969,,1107841,3003127
2017-10,32,Hauts-de-France,4082038,,-23963,4106000
2017-10,28,Normandie,4198537,,2017309,2181229
2017-10,93,Provence-Alpes-Côte d'Azur,1761444,7211,-1188248,2942481
