id,chiffre_cles,mots_cles,description,description_sup,source
chiffre_1,"7,5%",de ménages franciliens vulnérables énergétiquement (soit 358 000),avec une facture de chauffage supérieure à 8 % de leurs revenus,,Insee Dossier Île-de-France
chiffre_2,808376,ménages éligibles au chèque énergie en 2019,valeur entre 48 et 277 €,,"INSEE Analyses (DRIEA, DRIHL)"
chiffre_3,1 270 €,dépense annuelle moyenne de chauffage en Île-de-France,inférieure de 200€ à la moyenne nationale,,"INSEE Analyses (DRIEA, DRIHL)"
