id,chiffre_cles,mots_cles,description,description_sup,source
chiffre_1,72%,part de ce que représentent les bâtiment construits avant 1980,"dans les consommations du secteur. Source: ADEME, Recensement de DPE ",,"ADEME, Recensement de DPE"
chiffre_2,18 %,"des résidences principales consomment plus de 331kwh/m².an (classes F, G)",soit 958 483 logements (2018). Source : CGDD/SDES,,Données de DPE (Opendata de l'ADEME)
chiffre_3,90%,des certificats d’économies d’énergie (CEE) délivrés en 2017 concernent le secteur du bâtiment,"soit 43.4 Twhcumac, dont 62 % de CEE précarité. Source : DGEC",,DRIEE fichier de CEE
