insee,com,annee,autres_btinf36_nb,autres_btinf36_puis,autres_btinf36_prod,autres_btsup36_nb,autres_btsup36_puis,autres_btsup36_prod,autres_hta_nb,autres_hta_puis,autres_hta_prod,bionrj_btinf36_nb,bionrj_btinf36_puis,bionrj_btinf36_prod,bionrj_btsup36_nb,bionrj_btsup36_puis,bionrj_btsup36_prod,bionrj_hta_nb,bionrj_hta_puis,bionrj_hta_prod,coge_btinf36_nb,coge_btinf36_puis,coge_btinf36_prod,coge_btsup36_nb,coge_btsup36_puis,coge_btsup36_prod,coge_hta_nb,coge_hta_puis,coge_hta_prod,eol_btinf36_nb,eol_btinf36_puis,eol_btinf36_prod,eol_btsup36_nb,eol_btsup36_puis,eol_btsup36_prod,eol_hta_nb,eol_hta_puis,eol_hta_prod,hyd_btinf36_nb,hyd_btinf36_puis,hyd_btinf36_prod,hyd_btsup36_nb,hyd_btsup36_puis,hyd_btsup36_prod,hyd_hta_nb,hyd_hta_puis,hyd_hta_prod,pv_btinf36_nb,pv_btinf36_puis,pv_btinf36_prod,pv_btsup36_nb,pv_btsup36_puis,pv_btsup36_prod,pv_hta_nb,pv_hta_puis,pv_hta_prod,secret
77309,Monthyon,2016,,,,,,,,,,,,,,,,1,10000,20338430,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,37,27813,,,,,,,
77310,Montigny-le-Guesdier,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,,,,,,,Photovoltaïque BTINF36
77311,Montigny-Lencoup,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,27,23822,,,,,,,
77312,Montigny-sur-Loing,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,0,0,1,72,46730,,,,Photovoltaïque BTINF36
77314,Montolivet,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,0,,,,,,,Photovoltaïque BTINF36
77315,Montry,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,50,37261,,,,,,,
77317,Mormant,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,42,27621,,,,,,,
77318,Mortcerf,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,0,,,,,,,Photovoltaïque BTINF36
77319,Mortery,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,0,,,,,,,Photovoltaïque BTINF36
77320,Mouroux,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,93,78063,,,,,,,
77321,Mousseaux-lès-Bray,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,0,,,,,,,Photovoltaïque BTINF36
77322,Moussy-le-Neuf,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,32,26204,1,65,56001,,,,
77323,Moussy-le-Vieux,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,0,0,,,,,,,Photovoltaïque BTINF36
77325,Mouy-sur-Seine,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,,,,,,,Photovoltaïque BTINF36
77326,Nandy,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,0,0,,,,,,,Photovoltaïque BTINF36
77327,Nangis,2016,,,,,,,,,,,,,,,,,,,,,,,,,1,6000,404547,,,,,,,,,,,,,,,,,,,20,78,71221,1,65,38642,,,,
77328,Nanteau-sur-Essonne,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,0,,,,,,,Photovoltaïque BTINF36
77329,Nanteau-sur-Lunain,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,0,0,,,,,,,Photovoltaïque BTINF36
77330,Nanteuil-lès-Meaux,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,148,103281,,,,,,,
77331,Nanteuil-sur-Marne,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,0,0,,,,,,,Photovoltaïque BTINF36
