Departement,Nom commune,Nom de la chaufferie,Annee,Production_estim_MWh
92,NANTERRE,Maison du Chemin de l'Ile,2011,116.3
92,NANTERRE,Chaufferie Hoche,2011,4803.19
92,SURESNES,Centre sportif des Raguidelles,2011,2275.991
92,VAUCRESSON,Haras de Jardy,2017,
92,COLOMBES,Résidence 4 rue de l'agriculture,,0
92,COURBEVOIE,Groupe scolaire,,
93,AUBERVILLIERS,"Cités Cochennec, Tillon et Jarry",2012,2895.87
93,BAGNOLET,Chaufferie des Roses,2015,56246
93,BOBIGNY,Hôpital Avicenne,2014,10811
93,BONDY,Chaufferie biomasse de Bondy,2015,26190.76
93,DRANCY,Centre Technique Intercommunal,2012,300
93,DRANCY,Chaufferie biomasse du Quartier Avenir Parisien,2016,2941
93,NOISY-LE-GRAND,Chaufferie communale de Noisy-le-Grand,2013,3605.3
93,SAINT-DENIS,Centrale de Fort de l'Est,2016,126508
93,SAINT-OUEN,Saint-Ouen 2,2016,560000
93,SEVRAN,Chaufferie biomasse de Sevran,2015,25057
93,STAINS,Centrale Nord de Stains,2011,200000
93,ÉPINAY-SUR-SEINE,Chaufferie communale,,
93,SEVRAN,Chaufferie Seveo,2018,
94,FONTENAY-SOUS-BOIS,Chaufferie du Chauffage Urbain de Fontenay,2010,28702.84
94,IVRY-SUR-SEINE,Hôpital Charles-Foix,2017,9222.59
94,LIMEIL-BRÉVANNES,Eco-quartier des Temps Durables,2015,12527
94,LE PLESSIS-TRÉVISE,,2021,116.3
94,VILLIERS-SUR-MARNE,Résidence MAGNOLIAS,2013,
94,JOINVILLE-LE-PONT,Chaufferie communale,,
94,VINCENNES,Chaufferie rue de Lagny,,
95,ARGENTEUIL,Chaufferie Orgemont,2015,6259
95,AVERNES,Réseau de chaleur Avernes,2016,
95,CHAUSSY,ECOSITE de Villarceaux,2011,697.8
95,ENGHIEN-LES-BAINS,Gymnase de la Coussaye,2010,337.27
95,FRANCONVILLE,Chaufferie des Montfrais,2014,50423
95,GARGES-LES-GONESSE,Collège Pablo Picasso,2009,1035.07
95,LASSY,Gasma,2005,2907.5
95,LONGUESSE,Chaufferie communale,,
95,MONTMORENCY,Chaufferie communale,2008,267.49
95,PERSAN,Chaufferie HUTCHINSON,2023,15719.9
95,PIERRELAYE,Picheta,2009,139.56
95,PONTOISE,Copropriété rue Séré-Depoin,2009,117.6956
95,PUISEUX-PONTOISE,Centre horticole,2011,767.58
95,ROISSY-EN-FRANCE,Chaufferie biomasse de Roissy,2013,76839.41
95,SAINT-LEU-LA-FORET,Collège Wanda Landowska,2008,802.47
95,SAINT-OUEN-L'AUMΓNE,Chaufferie des Bellevues,2009,119789
95,THÉMÉRICOURT,Chaufferie communale Théméricourt,2010,0
95,VIENNE-EN-ARTHIES,Ferme des Millonets,2007,58.15
