id,chiffre_cles,mots_cles,description,description_sup,source
chiffre_1,10%,des émissions de gaz à effet de serre nationales,42 MteqCO2 émis en Île-de-France en 2017 (scopes 1 et 2),,
chiffre_2,-22%,d’émissions de GES en 2017 par rapport à 2005,objectif SRCAE : -28 % en 2020 par rapport à 2005,,AIRPARIF
chiffre_3,54%,part des GES émise par le secteur du bâtiment, 30% sont émis par les transports routiers,87.5% à Métropole du Paris,AIRPARIF
