id,chiffre_cles,mots_cles,description,description_sup,source
chiffre_1,22%,de l’objectif à 2030 fixé par le SCRAE pour la méthanisation atteint en 2019,capacité de production des sites de méthanisation en 2019 : 888 GWh,,Plaquette du ROSE
chiffre_2,"3,2%",de l’objectif à 2030 fixé par le SCRAE pour l’électricité photovoltaïque atteint en 2017,production d’électricité photovoltaïque en 2017 : 76 GWh,,DRIEE
chiffre_3,"3,4%",de l’objectif à 2030 fixé par le SCRAE pour l’électricité éolienne atteint en 2017,production d’électricité éolienne en 2017 : 92 GWh,,Plaquette du ROSE
