secteur,annee,insee,commune,emission
Agriculture,2005,77103,Châtillon-la-Borde,0.1
Agriculture,2005,77104,Châtres,0.8
Agriculture,2005,77106,Chauffry,0.8
Agriculture,2005,77107,Chaumes-en-Brie,1.5
Agriculture,2005,77108,Chelles,0.2
Agriculture,2005,77109,Chenoise-Cucharmoy,5.5
Agriculture,2005,77110,Chenou,2
Agriculture,2005,77111,Chessy,0.1
Agriculture,2005,77112,Chevrainvilliers,1
Agriculture,2005,77113,Chevru,2.8
Agriculture,2005,77114,Chevry-Cossigny,1.2
Agriculture,2005,77115,Chevry-en-Sereine,1.1
Agriculture,2005,77116,Choisy-en-Brie,4.3
Agriculture,2005,77117,Citry,0.5
Agriculture,2005,77118,Claye-Souilly,0.5
Agriculture,2005,77119,Clos-Fontaine,0.5
Agriculture,2005,77120,Cocherel,0.8
Agriculture,2005,77121,Collégien,0
Agriculture,2005,77122,Combs-la-Ville,0.5
Agriculture,2005,77123,Compans,0.7
Agriculture,2005,77124,Conches-sur-Gondoire,0
Agriculture,2005,77126,Congis-sur-Thérouanne,0.9
Agriculture,2005,77127,Coubert,0.9
Agriculture,2005,77128,Couilly-Pont-aux-Dames,0.1
Agriculture,2005,77129,Coulombs-en-Valois,2.6
Agriculture,2005,77130,Coulommes,1.2
Agriculture,2005,77131,Coulommiers,0.1
Agriculture,2005,77132,Coupvray,0.2
Agriculture,2005,77133,Courcelles-en-Bassée,1.3
Agriculture,2005,77134,Courchamp,1.1
Agriculture,2005,77135,Courpalay,1.7
Agriculture,2005,77136,Courquetaine,0.3
Agriculture,2005,77137,Courtacon,1.7
Agriculture,2005,77138,Courtomer,0.2
Agriculture,2005,77139,Courtry,0.1
Agriculture,2005,77140,Coutençon,0.3
Agriculture,2005,77141,Coutevroult,0.3
Agriculture,2005,77142,Crécy-la-Chapelle,1.7
Agriculture,2005,77143,Crégy-lès-Meaux,0.1
Agriculture,2005,77144,Crèvec?ur-en-Brie,0.2
Agriculture,2005,77145,Crisenoy,1.9
Agriculture,2005,77146,Croissy-Beaubourg,0.1
Agriculture,2005,77147,La Croix-en-Brie,2.8
Agriculture,2005,77148,Crouy-sur-Ourcq,0.6
Agriculture,2005,77150,Cuisy,0.2
Agriculture,2005,77151,Dagny,1
Agriculture,2005,77152,Dammarie-les-Lys,0
Agriculture,2005,77153,Dammartin-en-Goële,0.6
Agriculture,2005,77154,Dammartin-sur-Tigeaux,0.6
Agriculture,2005,77155,Dampmart,0.4
Agriculture,2005,77156,Darvault,0.2
Agriculture,2005,77157,Dhuisy,0.9
Agriculture,2005,77158,Diant,1.1
Agriculture,2005,77159,Donnemarie-Dontilly,0.6
Agriculture,2005,77161,Dormelles,0.9
Agriculture,2005,77162,Doue,3.6
Agriculture,2005,77163,Douy-la-Ramée,0.3
Agriculture,2005,77164,Échouboulains,1
Agriculture,2005,77165,Les Écrennes,0.9
Agriculture,2005,77167,Égligny,1.3
Agriculture,2005,77168,Égreville,2.8
Agriculture,2005,77169,Émerainville,0
Agriculture,2005,77171,Esbly,0.1
Agriculture,2005,77172,Esmans,0.9
Agriculture,2005,77173,Étrépilly,1.7
Agriculture,2005,77174,Everly,0.3
Agriculture,2005,77175,Évry-Grégy-sur-Yerre,1.1
Agriculture,2005,77176,Faremoutiers,3.7
Agriculture,2005,77177,Favières,1.6
Agriculture,2005,77178,Faÿ-lès-Nemours,1.1
Agriculture,2005,77179,Féricy,0.9
Agriculture,2005,77180,Férolles-Attilly,1.6
Agriculture,2005,77181,Ferrières-en-Brie,0.1
Agriculture,2005,77182,La Ferté-Gaucher,2.2
Agriculture,2005,77183,La Ferté-sous-Jouarre,0.3
Agriculture,2005,77184,Flagy,0.2
Agriculture,2005,77185,Fleury-en-Bière,0.4
Agriculture,2005,77186,Fontainebleau,0.4
Agriculture,2005,77187,Fontaine-Fourches,1
Agriculture,2005,77188,Fontaine-le-Port,0.1
Agriculture,2005,77190,Fontains,1.2
Agriculture,2005,77191,Fontenailles,0.5
Agriculture,2005,77192,Fontenay-Trésigny,1.5
Agriculture,2005,77193,Forfry,0.9
Agriculture,2005,77194,Forges,0.7
Agriculture,2005,77195,Fouju,1
Agriculture,2005,77196,Fresnes-sur-Marne,1
Agriculture,2005,77197,Frétoy,0.4
Agriculture,2005,77198,Fromont,1.6
Agriculture,2005,77199,Fublaines,0.2
Agriculture,2005,77200,Garentreville,1
Agriculture,2005,77201,Gastins,1.3
Agriculture,2005,77202,La Genevraye,0.4
Agriculture,2005,77203,Germigny-l'Évêque,0.5
Agriculture,2005,77204,Germigny-sous-Coulombs,0.6
Agriculture,2005,77205,Gesvres-le-Chapitre,0.2
Agriculture,2005,77206,Giremoutiers,0.7
Agriculture,2005,77207,Gironville,1.5
Agriculture,2005,77208,Gouaix,1.5
Agriculture,2005,77209,Gouvernes,0
Agriculture,2005,77210,La Grande-Paroisse,1.6
Agriculture,2005,77211,Grandpuits-Bailly-Carrois,2.6
Agriculture,2005,77212,Gravon,0.3
Agriculture,2005,77214,Gressy,0.2
Agriculture,2005,77215,Gretz-Armainvilliers,0.4
Agriculture,2005,77216,Grez-sur-Loing,0.5
Agriculture,2005,77217,Grisy-Suisnes,3.3
Agriculture,2005,77218,Grisy-sur-Seine,0.3
Agriculture,2005,77219,Guérard,1.5
Agriculture,2005,77220,Guercheville,1.7
Agriculture,2005,77221,Guermantes,0
Agriculture,2005,77222,Guignes,0.5
Agriculture,2005,77223,Gurcy-le-Châtel,0.8
Agriculture,2005,77224,Hautefeuille,0.3
Agriculture,2005,77225,La Haute-Maison,1.7
Agriculture,2005,77226,Héricy,0.7
Agriculture,2005,77227,Hermé,0.9
Agriculture,2005,77228,Hondevilliers,0.7
Agriculture,2005,77229,La Houssaye-en-Brie,1.3
Agriculture,2005,77230,Ichy,0.7
Agriculture,2005,77232,Isles-lès-Villenoy,0.2
Agriculture,2005,77233,Iverny,0.8
Agriculture,2005,77234,Jablines,0.2
Agriculture,2005,77235,Jaignes,0.9
Agriculture,2005,77236,Jaulnes,1.7
Agriculture,2005,77237,Jossigny,0.6
Agriculture,2005,77238,Jouarre,4.7
Agriculture,2005,77239,Jouy-le-Châtel,5.3
Agriculture,2005,77240,Jouy-sur-Morin,2.9
Agriculture,2005,77241,Juilly,0.3
Agriculture,2005,77242,Jutigny,0.4
Agriculture,2005,77243,Lagny-sur-Marne,0.3
Agriculture,2005,77244,Larchant,1.2
Agriculture,2005,77245,Laval-en-Brie,1
Agriculture,2005,77246,Léchelle,1.8
Agriculture,2005,77247,Lescherolles,0.7
Agriculture,2005,77248,Lesches,0.1
Agriculture,2005,77249,Lésigny,0.1
Agriculture,2005,77250,Leudon-en-Brie,2.1
Agriculture,2005,77251,Lieusaint,0.7
Agriculture,2005,77252,Limoges-Fourches,2
Agriculture,2005,77253,Lissy,0.8
Agriculture,2005,77254,Liverdy-en-Brie,0.6
Agriculture,2005,77255,Livry-sur-Seine,0.1
Agriculture,2005,77256,Lizines,1.1
Agriculture,2005,77257,Lizy-sur-Ourcq,0.9
Agriculture,2005,77258,Lognes,0
Agriculture,2005,77259,Longperrier,0.6
Agriculture,2005,77260,Longueville,0.4
Agriculture,2005,77261,Lorrez-le-Bocage-Préaux,3.1
Agriculture,2005,77262,Louan-Villegruis-Fontaine,3.6
Agriculture,2005,77263,Luisetaines,0.4
Agriculture,2005,77264,Lumigny-Nesles-Ormeaux,3.7
Agriculture,2005,77265,Luzancy,0.1
Agriculture,2005,77266,Machault,0.5
Agriculture,2005,77267,La Madeleine-sur-Loing,0.1
Agriculture,2005,77268,Magny-le-Hongre,0.1
Agriculture,2005,77269,Maincy,0.5
Agriculture,2005,77270,Maisoncelles-en-Brie,1.8
Agriculture,2005,77271,Maisoncelles-en-Gâtinais,0.6
Agriculture,2005,77272,Maison-Rouge,3.2
Agriculture,2005,77273,Marchémoret,0.4
Agriculture,2005,77274,Marcilly,0.2
Agriculture,2005,77275,Les Marêts,0.6
Agriculture,2005,77276,Mareuil-lès-Meaux,0.2
Agriculture,2005,77277,Marles-en-Brie,0.9
Agriculture,2005,77278,Marolles-en-Brie,1.2
Agriculture,2005,77279,Marolles-sur-Seine,1.3
Agriculture,2005,77280,Mary-sur-Marne,0.1
Agriculture,2005,77281,Mauperthuis,0.1
Agriculture,2005,77282,Mauregard,0.4
Agriculture,2005,77283,May-en-Multien,1.4
Agriculture,2005,77284,Meaux,0.2
Agriculture,2005,77285,Le Mée-sur-Seine,0.1
Agriculture,2005,77286,Meigneux,0.6
Agriculture,2005,77287,Meilleray,0.3
Agriculture,2005,77288,Melun,0.1
Agriculture,2005,77289,Melz-sur-Seine,0.9
Agriculture,2005,77290,Méry-sur-Marne,0.1
Agriculture,2005,77291,Le Mesnil-Amelot,0.5
Agriculture,2005,77292,Messy,0.8
Agriculture,2005,77293,Misy-sur-Yonne,0.5
Agriculture,2005,77294,Mitry-Mory,1.3
Agriculture,2005,77295,Moisenay,1
Agriculture,2005,77296,Moissy-Cramayel,0.9
Agriculture,2005,77297,Mondreville,4.8
Agriculture,2005,77298,Mons-en-Montois,0.5
Agriculture,2005,77300,Montceaux-lès-Meaux,0.1
Agriculture,2005,77301,Montceaux-lès-Provins,1.2
Agriculture,2005,77302,Montcourt-Fromonville,0.2
Agriculture,2005,77303,Montdauphin,1.5
Agriculture,2005,77304,Montenils,0.2
Agriculture,2005,77305,Montereau-Fault-Yonne,0.6
Agriculture,2005,77306,Montereau-sur-le-Jard,1
Agriculture,2005,77307,Montévrain,0.1
Agriculture,2005,77308,Montgé-en-Goële,0.6
Agriculture,2005,77309,Monthyon,1.4
Agriculture,2005,77310,Montigny-le-Guesdier,0.7
Agriculture,2005,77311,Montigny-Lencoup,1.7
Agriculture,2005,77312,Montigny-sur-Loing,0.1
Agriculture,2005,77313,Montmachoux,0.8
Agriculture,2005,77314,Montolivet,1
Agriculture,2005,77315,Montry,0.1
Agriculture,2005,77316,Moret Loing et Orvanne,1.1
